Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Microglia (IBA1),Astrocytes (GFAP),1.55125627926188,303.0,0.0013211564135147526,0.007926938481088516
Neurons (NEUN),Microglia (IBA1),-0.44532024819758975,122.5,0.02325403003183041,0.06976209009549122
Neurons (NEUN),Astrocytes (GFAP),1.1059360310642903,238.5,0.08847597836845135,0.1434532950037537
Microglia (IBA1),Oligodendrocytes (OLIG2),0.5276651277259479,158.0,0.09563553000250245,0.1434532950037537
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-1.0235911515359322,72.0,0.23037758642542916,0.27645310371051496
Neurons (NEUN),Oligodendrocytes (OLIG2),0.08234487952835812,118.0,0.756830126553702,0.756830126553702
