Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),-2.3162660341806958,31.0,2.9716647781711788e-06,1.7829988669027074e-05
Neurons (NEUN),Oligodendrocytes (OLIG2),-1.490910242296092,35.0,0.001847484585680533,0.0055424537570416
Microglia (IBA1),Astrocytes (GFAP),1.4330188215044903,270.0,0.023095076647515034,0.04619015329503007
Neurons (NEUN),Astrocytes (GFAP),-0.8832472126762055,113.0,0.04610540989604481,0.06822238504271944
Microglia (IBA1),Oligodendrocytes (OLIG2),0.8253557918846037,164.0,0.05685198753559954,0.06822238504271944
Astrocytes (GFAP),Oligodendrocytes (OLIG2),-0.6076630296198866,90.0,0.7004530512539103,0.7004530512539103
