Test group,Reference group,Log2FoldChange,Stat,Pvalue,Padj
Neurons (NEUN),Microglia (IBA1),-0.8530700350540847,141.0,0.07399911804786743,0.2219973541436023
Microglia (IBA1),Oligodendrocytes (OLIG2),1.2517584310910816,168.0,0.039098287529751405,0.2219973541436023
Astrocytes (GFAP),Oligodendrocytes (OLIG2),0.7795072700678203,131.5,0.15030068621978843,0.30060137243957685
Neurons (NEUN),Astrocytes (GFAP),-0.3808188740308234,140.0,0.24817518026555707,0.3722627703983356
Microglia (IBA1),Astrocytes (GFAP),0.47225116102326137,217.5,0.4301993545004984,0.5162392254005981
Neurons (NEUN),Oligodendrocytes (OLIG2),0.3986883960369969,115.0,0.8526113012689713,0.8526113012689713
